strain,stress
0.01664254,75.73933333
0.016668889,75.78046667
0.016695175,75.8526
0.016721587,75.8827
0.016747937,75.886
0.016774032,75.9486
0.016800571,75.9714
0.016826667,76.01996667
0.016853079,76.06646667
0.016879429,76.1083
0.016905778,76.15223333
0.016932127,76.171
0.016958413,76.2431
0.016984762,76.2717
0.017011111,76.32976667
0.01703746,76.3429
0.01706381,76.408
0.017090159,76.46433333
0.017116508,76.48963333
0.017142857,76.5151
0.017169143,76.56163333
0.017195492,76.62086667
0.017221841,76.61713333
0.01724819,76.65633333
0.01727454,76.74436667
0.017300889,76.74266667
0.017327238,76.81673333
0.017353524,76.86516667
0.017379683,76.90056667
0.017406032,76.92606667
0.017432571,76.9782
0.017458857,77.01596667
0.017485143,77.0441
0.017511492,77.09243333
0.017537778,77.11976667
0.017564127,77.1538
0.017590413,77.1915
0.017616762,77.21716667
0.017643111,77.24916667
0.01766946,77.27696667
0.017695746,77.32796667
0.017722095,77.33596667
0.017748381,77.3951
0.01777473,77.43836667
0.017801016,77.4793
0.017827365,77.4608
0.017853651,77.55293333
0.01788,77.57516667
0.017906286,77.60456667
0.017932825,77.64093333
0.017959175,77.70103333
0.01798546,77.73986667
0.01801181,77.7592
0.018038095,77.82373333
0.018064444,77.83626667
0.01809073,77.86616667
0.018117079,77.9218
0.018143429,77.96306667
0.018169778,77.99203333
0.018196063,78.00876667
0.018222413,78.04633333
0.018248698,78.09776667
0.018275048,78.12516667
0.018301333,78.19553333
0.018327619,78.20426667
0.018354159,78.26916667
0.018380508,78.27513333
0.018406794,78.32656667
0.018433143,78.33686667
0.018459429,78.37813333
0.018485778,78.3813
0.018512063,78.43906667
0.018538413,78.48576667
0.018564698,78.5423
0.018591048,78.55966667
0.018617333,78.5931
0.018643683,78.63866667
0.018670032,78.6745
0.018696381,78.68833333
0.01872273,78.751
0.018749016,78.8055
0.018775365,78.80713333
0.018801651,78.84256667
0.018828,78.8944
0.018854286,78.92736667
0.018880635,78.96053333
0.018907175,78.99873333
0.01893346,79.04923333
0.01895981,79.06846667
0.018986159,79.13336667
0.019012508,79.19286667
0.019038794,79.2106
0.019064952,79.26636667
0.019091492,79.29046667
0.019117778,79.31716667
0.019144127,79.3458
0.019170413,79.36233333
0.019196762,79.44713333
0.019223048,79.48076667
0.019249397,79.48513333
0.019275683,79.53586667
0.019301968,79.5467
0.019328317,79.6294
0.019354603,79.647
0.019380952,79.66463333
0.019407238,79.75306667
0.019433778,79.7768
0.019459937,79.77753333
0.019486476,79.81843333
0.019512762,79.8814
0.019539111,79.8861
0.019565397,79.94216667
0.019591746,79.97546667
0.019618032,80.0122
0.019644317,80.03543333
0.019670667,80.0598
0.019697016,80.1114
0.019723365,80.14553333
0.019749651,80.18503333
0.019776,80.18403333
0.019802286,80.24053333
0.019828571,80.246
0.019854921,80.3034
0.01988127,80.32426667
0.019907619,80.36646667
0.019933905,80.41583333
0.019960444,80.45493333
0.019986794,80.48706667
0.020013079,80.50096667
0.020039429,80.49936667
0.020065714,80.53713333
0.020092,80.59413333
0.020118349,80.61806667
0.020144635,80.66226667
0.020170984,80.6792
0.02019727,80.72966667
0.020223619,80.75996667
0.020249968,80.77506667
0.020276254,80.81226667
0.020302603,80.81886667
0.020328889,80.851
0.020355238,80.94053333
0.020381778,80.958
0.020408063,80.96043333
0.020434413,80.98823333
0.020460698,81.0492
0.020486984,81.085
0.020513333,81.11043333
0.020539683,81.14286667
0.020566032,81.14563333
0.020592381,81.18606667
0.02061873,81.2505
0.020645079,81.2469
0.020671238,81.28016667
0.020697587,81.3277
0.020723937,81.35716667
0.020750349,81.40456667
0.020776698,81.41993333
0.020803111,81.4251
0.020829206,81.47423333
0.020855619,81.50456667
0.020881968,81.52566667
0.020908317,81.56446667
0.020934667,81.6013
0.020961016,81.6374
0.020987302,81.6395
0.021013651,81.7053
0.021039937,81.7215
0.021066286,81.77483333
0.021092571,81.77666667
0.021118921,81.8147
0.021145206,81.8742
0.021171556,81.89466667
0.021197841,81.93326667
0.021224381,81.97113333
0.02125073,81.98596667
0.021277079,82.01116667
0.021303365,82.0624
0.021329714,82.0704
0.021356,82.097
0.021382286,82.12756667
0.021408635,82.16613333
0.021434984,82.21746667
0.02146127,82.25463333
0.021487556,82.26196667
0.021513905,82.2905
0.02154019,82.3369
0.02156654,82.37783333
0.021593079,82.4071
0.021619175,82.41723333
0.021645524,82.44176667
0.021672063,82.46126667
0.021698413,82.51933333
0.021724698,82.54246667
0.021750984,82.5757
0.021777333,82.62226667
0.021803683,82.66366667
0.021830032,82.6844
0.021856317,82.69006667
0.021882667,82.73246667
0.021908952,82.74223333
0.021935302,82.77646667
0.021961587,82.82843333
0.021987873,82.8536
0.022014222,82.8606
0.022040508,82.9601
0.022066857,82.91426667
0.022093206,82.97606667
0.022119492,82.99506667
0.022146032,83.03653333
0.022172381,83.05766667
0.022198667,83.0781
0.022224952,83.10716667
0.022251302,83.1572
0.022277651,83.17496667
0.022303937,83.18803333
0.022330286,83.22446667
0.022356571,83.2988
0.022382921,83.315
0.022409206,83.33453333
0.022435556,83.36596667
0.022461905,83.4027
0.02248819,83.4437
0.02251454,83.47373333
0.022540889,83.4791
0.022567175,83.50033333
0.022593524,83.53666667
0.02261981,83.58066667
0.022646413,83.5834
0.022672698,83.6277
0.022699048,83.67323333
0.022725333,83.70053333
0.022751619,83.70506667
0.022777968,83.7204
0.022804317,83.7679
0.022830667,83.79173333
0.022857016,83.8324
0.022883302,83.84796667
0.022909651,83.90043333
0.022936,83.9034
0.022962349,83.89803333
0.022988635,83.99333333
0.023014921,84.01133333
0.02304127,84.00426667
0.023067556,84.04693333
0.023093905,84.08413333
0.02312019,84.10546667
0.02314654,84.1465
0.023172825,84.1659
0.023199175,84.1892
0.02322546,84.21213333
0.023252,84.24576667
0.023278349,84.27426667
0.023304635,84.31153333
0.023330984,84.3641
0.023357333,84.39216667
0.023383683,84.39933333
0.023409968,84.4097
0.023436317,84.4244
0.023462603,84.45986667
0.023488952,84.52803333
0.023515238,84.55653333
0.023541778,84.5569
0.023568127,84.56983333
0.023594413,84.61116667
0.023620762,84.69103333
0.023647048,84.70256667
0.023673397,84.6927
0.023699683,84.72893333
0.023726032,84.74706667
0.023752317,84.80333333
0.023778603,84.82853333
0.023804952,84.88096667
0.023831238,84.90926667
0.023857587,84.89933333
0.023883937,84.94
0.023910286,84.94056667
0.023936571,84.97716667
0.023962921,85.02323333
0.02398946,85.0523
0.024015746,85.0708
0.024042095,85.1114
0.024068381,85.14083333
0.024094667,85.13793333
0.024121016,85.18616667
0.024147365,85.24
0.024173714,85.2469
0.024200063,85.25336667
0.024226413,85.28796667
0.024252762,85.32223333
0.024279111,85.3325
0.024305397,85.36753333
0.024331746,85.43353333
0.024358095,85.4304
0.024384381,85.47126667
0.02441073,85.51146667
0.024437079,85.54146667
0.024463365,85.5322
0.024489714,85.56203333
0.024516,85.57993333
0.024542286,85.61746667
0.024568635,85.6561
0.024594921,85.68923333
0.02462127,85.70526667
0.024647556,85.73763333
0.024673968,85.75726667
0.024700254,85.7715
0.024726603,85.82213333
0.024752952,85.8083
0.024779302,85.85283333
0.024805651,85.8598
0.024832,85.92566667
0.024858349,85.9604
0.024884698,85.96993333
0.024911048,85.99386667
0.024937397,86.01306667
0.024963746,86.04823333
0.024989841,86.0693
0.02501619,86.12653333
0.025042476,86.167
0.025068889,86.16016667
0.025095238,86.18516667
0.025121587,86.22853333
0.025147937,86.27523333
0.025174286,86.29676667
0.025200635,86.29823333
0.025226921,86.3446
0.02525327,86.38516667
0.025279556,86.39453333
0.025305905,86.42303333
0.02533219,86.46856667
0.02535854,86.49683333
0.025384825,86.53963333
0.025411365,86.58483333
0.02543746,86.58813333
0.025464063,86.62493333
0.025490349,86.68126667
0.025516698,86.7194
0.025542984,86.74543333
0.025569333,86.77343333
0.025595619,86.8037
0.025621968,86.8256
0.025648254,86.8546
0.02567454,86.9146
0.025700889,86.94943333
0.025727175,86.98223333
0.025753524,86.97963333
0.02577981,87.02426667
0.025806159,87.05466667
0.025832698,87.08486667
0.025858984,87.11173333
0.025885333,87.1258
0.025911619,87.16576667
0.025937968,87.21473333
0.025964127,87.21663333
0.025990476,87.2556
0.026016825,87.27796667
0.026043111,87.30713333
0.02606946,87.34736667
0.026096,87.3537
0.026122286,87.40236667
0.026148635,87.39266667
0.026174921,87.42686667
0.02620127,87.45623333
0.026227556,87.48793333
0.026253905,87.51413333
0.02628019,87.5182
0.02630654,87.53006667
0.026332825,87.54073333
0.026359175,87.586
0.02638546,87.6099
0.02641181,87.6102
0.026438095,87.6407
0.026464444,87.6498
0.026490794,87.67653333
0.026517333,87.67233333
0.026543619,87.70493333
0.026569968,87.71806667
0.026596254,87.71456667
0.026622603,87.74446667
0.026648889,87.78703333
0.026675175,87.79966667
0.026701524,87.8234
0.02672781,87.80666667
0.026754159,87.86773333
0.026780444,87.8728
0.026806794,87.85703333
0.026833143,87.92216667
0.026859492,87.93126667
0.026885905,87.955
0.02691219,87.994
0.026938603,87.97356667
0.026964952,87.99606667
0.026991111,88.04856667
0.02701746,88.03996667
0.027043873,88.0502
0.027070222,88.07323333
0.027096571,88.11243333
0.027122857,88.1362
0.02714927,88.16603333
0.027175556,88.16743333
0.027201905,88.17196667
0.027228254,88.20026667
0.027254603,88.24723333
0.027280762,88.25666667
0.027307111,88.2598
0.02733346,88.2873
0.02735981,88.29156667
0.027386095,88.323
0.027412444,88.36366667
0.027438794,88.39173333
0.027465143,88.40996667
0.027491492,88.42543333
0.027517841,88.45323333
0.02754419,88.47326667
0.02757054,88.49696667
0.027596889,88.49743333
0.027623238,88.52186667
0.027649587,88.57103333
0.027675937,88.58386667
0.027702095,88.60216667
0.027728444,88.63106667
0.027754794,88.6501
0.027781143,88.66273333
0.027807492,88.67713333
0.027833778,88.67573333
0.02786019,88.72613333
0.027886476,88.7465
0.027912889,88.7928
0.027939175,88.80146667
0.027965524,88.81896667
0.027991873,88.84266667
0.028018222,88.85793333
0.028044381,88.88616667
0.02807073,88.92363333
0.028097079,88.97586667
0.028123429,89.01486667
0.028149841,89.01103333
0.02817619,89.0519
0.028202476,89.0916
0.028228825,89.123
0.028255175,89.15093333
0.028281524,89.16126667
0.028307873,89.1794
0.028334222,89.19733333
0.028360571,89.23846667
0.028386921,89.26003333
0.02841327,89.31186667
0.028439619,89.31933333
0.028465714,89.3391
0.028492063,89.37203333
0.028518413,89.4154
0.028544825,89.41303333
0.028571175,89.4831
0.02859746,89.49013333
0.02862381,89.50736667
0.028650095,89.528
0.028676444,89.5459
0.02870273,89.56676667
0.028729016,89.59786667
0.028755556,89.6319
0.028781905,89.67103333
0.02880819,89.71513333
0.02883454,89.71023333
0.028860825,89.74116667
0.028887175,89.74233333
0.02891346,89.78013333
0.02893981,89.79093333
0.028966159,89.835
0.028992508,89.843
0.029018857,89.86083333
0.029045206,89.8831
0.029071556,89.89836667
0.029097905,89.93933333
0.02912419,89.9536
0.02915054,89.9482
0.029176889,89.9525
0.029203238,89.97706667
0.029229587,90.0142
0.029255873,90.04056667
0.029282159,90.04806667
0.029308508,90.06493333
0.029334794,90.1108
0.029361143,90.1122
0.029387492,90.1134
0.029413841,90.1667
0.02944019,90.18876667
0.02946654,90.1674
0.029492825,90.17526667
